32;63;63;93;749;358;16;1404;188;1029;2730;
32;63;62;109;702;343;0;1342;109;936;2387;
31;62;63;125;748;359;0;1420;125;1154;2699;
47;62;78;78;780;390;0;1467;109;577;2153;
31;63;47;94;765;359;15;1404;156;717;2293;
46;78;94;78;796;296;15;1419;156;796;2371;
15;62;62;78;780;359;16;1451;93;1108;2668;
16;78;94;94;717;234;0;1342;62;718;2137;
31;62;78;94;826;344;16;1467;249;858;2589;
32;78;78;78;499;406;16;1217;63;1170;2465;
46;62;78;94;827;281;0;1466;265;858;2589;
15;78;78;78;733;344;0;1373;234;998;2605;
31;78;62;109;546;390;0;1232;281;796;2309;
31;63;78;78;749;375;15;1420;187;655;2262;
31;62;94;93;764;344;16;1420;171;1030;2621;
31;62;78;78;577;359;0;1232;577;765;2574;
46;78;47;93;811;343;0;1450;78;1092;2636;
16;62;109;78;764;343;16;1404;172;702;2293;
31;78;62;203;531;374;0;1295;109;1107;2527;
31;62;78;78;530;374;0;1185;328;1139;2668;
31;78;62;78;748;344;0;1389;202;687;2278;
47;63;62;93;858;250;0;1466;234;843;2543;
31;78;62;78;796;343;0;1420;125;655;2215;
31;62;94;93;812;296;0;1466;219;873;2558;
31;62;125;62;530;375;0;1232;219;734;2200;
31;78;62;141;702;343;0;1404;484;639;2527;
16;78;109;78;764;312;0;1404;609;733;2761;
31;78;94;78;670;312;16;1294;390;796;2480;
32;78;78;94;749;375;15;1436;202;952;2590;
31;62;62;110;858;343;0;1591;94;748;2433;
187;46;47;94;749;328;0;1560;187;733;2496;
62;62;78;110;702;234;15;1404;250;717;2371;
31;78;109;62;733;296;0;1357;281;764;2527;
94;63;140;78;827;327;16;1560;109;624;2309;
15;62;125;78;546;375;0;1217;234;733;2215;
31;62;63;110;514;422;0;1233;62;1060;2371;
32;62;109;94;702;312;16;1358;499;764;2636;
62;62;63;125;515;484;0;1342;608;1030;2980;
31;78;124;62;702;359;0;1404;234;733;2371;
78;47;62;94;531;327;15;1310;63;1248;2621;
32;78;93;94;686;359;16;1420;452;749;2621;
31;78;78;93;764;328;16;1404;187;577;2184;
187;47;62;94;624;312;0;1357;624;796;2792;
15;62;63;156;827;343;0;1497;281;889;2683;
16;78;109;78;765;343;15;1482;172;1030;2699;
31;78;62;125;593;328;0;1233;46;1529;2823;
171;47;31;94;530;390;0;1310;390;655;2371;
47;63;62;125;717;328;0;1373;62;1014;2449;
31;78;109;94;640;281;15;1264;374;858;2511;
47;62;63;109;796;343;0;1451;187;968;2621;
47;63;78;109;546;359;15;1279;172;1030;2511;
62;125;47;124;484;499;16;1404;499;1123;3026;
47;78;78;93;499;640;16;1467;250;905;2652;
47;63;62;94;811;281;0;1404;561;718;2683;
63;110;46;125;1295;343;16;2060;218;780;3058;
31;63;62;125;842;281;0;1513;234;562;2325;
31;78;78;94;780;359;0;1435;109;749;2293;
94;78;62;93;811;343;16;1529;297;951;2792;
16;78;140;94;858;297;15;1560;281;1061;2917;
31;78;62;110;811;359;0;1467;265;811;2543;
31;62;78;156;780;281;0;1451;562;764;2777;
62;187;47;93;780;343;16;1560;171;905;2636;
31;78;93;78;592;375;16;1295;31;1576;2933;
31;62;63;125;514;422;16;1264;609;671;2590;
16;78;125;62;718;265;0;1358;483;1108;2979;
32;78;63;124;811;297;16;1451;171;983;2621;
32;78;62;94;531;359;15;1217;328;811;2372;
31;62;62;125;827;280;16;1419;172;982;2589;
32;78;109;78;764;203;16;1311;483;718;2512;
31;78;78;93;780;343;0;1419;172;671;2262;
47;78;63;109;592;344;16;1280;592;765;2652;
62;62;62;110;765;358;15;1450;94;811;2355;
32;78;109;78;764;359;16;1451;234;983;2668;
62;62;78;94;826;344;16;1498;78;1138;2714;
47;63;93;78;655;281;0;1248;608;780;2636;
16;78;78;94;499;390;16;1233;312;608;2184;
31;78;125;78;843;280;0;1575;265;609;2449;
78;171;47;109;499;421;0;1357;344;873;2590;
47;62;63;140;749;281;0;1358;406;624;2403;
46;62;63;140;796;359;0;1482;171;733;2386;
15;62;62;110;765;358;0;1419;63;702;2200;
31;63;46;109;780;343;16;1435;172;967;2605;
32;63;62;125;499;343;0;1139;265;1202;2606;
31;63;93;94;624;281;0;1216;609;780;2636;
32;63;62;109;578;296;15;1202;577;655;2450;
31;78;109;78;515;390;0;1232;203;858;2309;
47;63;93;78;530;421;0;1263;297;1139;2699;
32;94;62;94;500;374;15;1186;343;1092;2636;
31;63;62;141;733;249;0;1294;515;1077;2902;
47;62;94;93;702;328;0;1357;297;795;2449;
31;78;62;110;827;312;15;1466;249;562;2293;
31;93;63;93;702;343;0;1404;421;702;2559;
46;78;62;94;795;359;0;1466;62;718;2246;
32;78;109;78;811;281;0;1498;234;858;2590;
31;62;62;125;577;359;16;1248;639;609;2496;
15;78;62;94;826;328;16;1482;265;858;2605;
31;78;78;94;717;281;0;1435;234;1046;2715;
15;62;62;78;546;390;15;1263;437;967;2699;
32;63;62;109;858;327;0;1482;203;593;2278;
47;78;78;78;796;218;0;1342;577;640;2559;
