1809;858;2699;
2012;733;2761;
2179;1037;3224;
1946;671;2638;
1794;951;2776;
1841;546;2387;
1778;1061;2855;
1887;998;2901;
1841;1029;2886;
1981;1029;3010;
1825;655;2511;
1888;546;2434;
1840;702;2558;
1950;671;2668;
1841;687;2543;
1794;655;2465;
1856;952;2824;
1872;718;2590;
1904;983;2902;
1856;936;2792;
1887;1014;2917;
1825;749;2574;
1919;843;2777;
1825;655;2480;
1809;687;2511;
1809;998;2839;
1825;1014;2839;
1794;687;2496;
1825;921;2746;
1825;1045;2870;
1794;858;2683;
1826;1014;2855;
1856;796;2668;
1918;656;2590;
1810;1045;2870;
1825;1045;2886;
1809;546;2355;
1794;656;2465;
1825;733;2558;
1840;1045;2901;
1856;593;2465;
1903;1014;2917;
1934;546;2480;
1825;967;2808;
1810;765;2590;
1794;609;2418;
1825;858;2683;
1810;1045;2855;
1778;951;2745;
1794;1045;2870;
1810;686;2512;
1763;686;2449;
1810;842;2652;
1919;999;2918;
1778;1045;2839;
1810;764;2574;
1731;640;2403;
1779;624;2403;
1794;999;2793;
1794;780;2574;
1810;967;2777;
1810;733;2543;
1825;702;2527;
1872;936;2823;
1841;1076;2917;
1825;639;2480;
1841;1045;2886;
1809;842;2667;
1810;998;2808;
1809;733;2574;
1872;983;2870;
1810;561;2371;
1966;904;2870;
1810;936;2746;
2012;717;2745;
1826;920;2761;
1919;718;2637;
1825;998;2823;
1825;1030;2855;
1997;608;2620;
1825;936;2776;
1857;624;2481;
1794;1123;2917;
1856;780;2636;
1810;889;2699;
1794;656;2465;
1888;952;2855;
1794;687;2481;
1857;999;2871;
1841;608;2465;
1825;967;2808;
1794;749;2543;
1919;671;2606;
1888;967;2855;
1841;1045;2886;
1794;702;2511;
1825;1014;2855;
1919;983;2902;
1841;670;2527;
1810;905;2715;
