5600;1638;7254;
5944;1732;7706;
5928;1154;7098;
5616;1669;7301;
5631;1388;7035;
5913;1201;7129;
5865;1794;7690;
5928;1451;7379;
5663;1685;7348;
6006;1622;7628;
5975;1669;7644;
5881;1498;7379;
5616;1638;7270;
5616;1684;7316;
5662;1311;6973;
5928;1373;7301;
5679;1420;7145;
5834;1498;7332;
5803;1498;7316;
5850;1684;7550;
6022;1591;7613;
5787;1669;7456;
5648;1762;7425;
5710;1404;7114;
5741;1404;7145;
5959;1404;7363;
5741;1419;7160;
5804;1435;7239;
6194;1716;7925;
5679;1139;6833;
5834;1217;7067;
5725;1514;7269;
6022;1638;7660;
6208;1670;7878;
5694;1170;6879;
5631;1170;6817;
5647;1467;7129;
5803;1560;7394;
5491;1607;7114;
5648;1653;7301;
5601;1623;7239;
5725;1716;7472;
5772;1794;7566;
5740;1467;7207;
5694;1544;7238;
5928;1498;7426;
5725;1217;6957;
5772;1638;7441;
5678;1358;7036;
5834;1498;7332;
5648;1497;7145;
5944;1435;7395;
5819;1404;7223;
5928;1482;7410;
5835;1638;7488;
5804;1731;7550;
5647;1466;7129;
5616;1638;7254;
5772;1560;7332;
5865;1592;7473;
5632;1654;7317;
6162;1404;7597;
5679;1170;6895;
5663;1497;7160;
5601;1482;7083;
5679;1139;6818;
5975;1513;7488;
5725;1420;7145;
6053;1420;7473;
5803;1685;7535;
5569;1357;6942;
5788;1388;7176;
5974;1124;7098;
5710;1482;7192;
5663;1669;7347;
5788;1466;7285;
5631;1155;6802;
5647;1700;7363;
6100;1513;7644;
5694;1123;6848;
5631;1623;7254;
6334;1373;7722;
5850;1622;7504;
5601;1498;7114;
5741;1435;7176;
6177;1732;7940;
5803;1731;7534;
5601;1544;7191;
5663;1341;7004;
5897;1295;7208;
5756;1498;7254;
5663;1529;7192;
5663;1451;7129;
5928;1389;7332;
5788;1154;6958;
5709;1155;6880;
5710;1513;7254;
5647;1435;7082;
5835;1669;7519;
5709;1592;7301;
