14227;2371;16614;
14423;2433;16856;
14508;1747;16286;
14352;1763;16131;
14586;2122;16738;
14336;1856;16208;
14383;2402;16801;
14611;2231;16888;
14711;1965;16707;
14173;2324;16529;
14493;2480;16973;
14305;1872;16177;
14274;2387;16677;
14688;1794;16513;
14258;2137;16427;
14695;1779;16474;
14055;1950;16021;
14398;2137;16567;
14664;2527;17191;
14352;2184;16536;
14086;2012;16130;
14493;1731;16224;
13947;1841;15788;
14289;1810;16099;
14367;1919;16302;
14243;2184;16458;
14586;2465;17082;
14462;1872;16334;
14430;2215;16676;
14321;2199;16520;
14336;2169;16505;
14524;1997;16536;
13977;1856;15849;
14367;2403;16770;
13806;2480;16317;
14555;1856;16427;
14367;2215;16598;
14118;2122;16255;
14258;1826;16100;
14430;1856;16286;
14072;1935;16022;
14602;2168;16785;
14274;1840;16146;
14477;1763;16256;
14415;2308;16739;
14415;1762;16192;
14508;2137;16677;
14633;2215;16848;
14680;2028;16708;
14321;2199;16551;
14649;2527;17176;
14321;2184;16520;
14336;2028;16380;
14228;1825;16084;
14461;1809;16270;
14196;1841;16052;
14508;2433;16941;
14601;1981;16598;
14165;2371;16552;
14414;1965;16395;
14321;1669;15990;
14554;2246;16816;
14992;1841;16848;
14571;2355;16941;
14398;2168;16614;
14727;2433;17223;
14726;2200;16942;
14477;1903;16395;
14024;2465;16505;
14523;2449;17004;
14211;2480;16707;
14321;2121;16442;
14742;2480;17238;
14398;2325;16863;
14243;2184;16458;
14508;1841;16349;
14679;2200;16879;
14336;2028;16364;
14984;2231;17215;
14305;2091;16396;
14633;1778;16427;
14258;2481;16739;
14570;2153;16738;
14243;2215;16490;
14414;2106;16520;
14617;1919;16567;
14290;2231;16551;
14118;2402;16551;
14258;2403;16677;
14258;2231;16505;
14415;2184;16629;
14025;2106;16177;
14336;1716;16068;
14102;2402;16520;
14383;2012;16443;
14664;2262;16926;
14180;2153;16349;
14305;1872;16193;
14196;2199;16411;
14212;2403;16630;
