31;78;63;93;5867;1247;62;7504;234;2152;9906;
32;78;63;78;5552;1405;48;7286;234;1887;9422;
31;63;62;141;5632;1294;32;7300;203;1685;9188;
31;171;47;109;5679;1171;30;7270;218;1825;9313;
62;62;125;94;5603;1230;46;7363;250;1840;9453;
31;78;47;141;5460;1249;123;7160;218;1888;9282;
15;78;62;140;5898;1310;47;7597;234;2137;9968;
31;78;62;125;5816;1266;47;7457;218;2059;9734;
31;78;47;125;5910;1155;111;7488;249;2028;9781;
93;62;78;94;5616;1732;46;7737;266;2043;10046;
31;78;78;78;5757;1466;47;7566;265;2387;10249;
32;78;63;156;5830;1252;16;7442;234;2044;9735;
31;78;62;94;5618;1153;62;7129;234;1934;9313;
31;62;94;93;5728;1167;32;7254;218;1670;9142;
63;47;46;94;5602;1357;46;7395;234;1981;9641;
31;62;78;125;5647;1233;16;7223;234;2043;9500;
31;62;94;109;5505;1251;46;7160;234;1591;8985;
16;62;47;140;5803;1186;62;7332;266;1840;9453;
47;62;63;109;5693;1170;63;7270;265;2059;9594;
47;63;93;78;5957;1236;15;7535;249;2044;9859;
47;63;62;78;5634;1199;78;7223;249;2060;9532;
47;62;78;109;5524;1138;93;7067;234;1903;9220;
31;78;62;94;5399;1277;78;7066;234;1654;8970;
47;63;93;78;5680;1262;63;7316;234;1701;9251;
16;78;109;125;5694;1234;45;7316;234;1810;9376;
32;63;93;78;5633;1248;46;7208;249;2028;9500;
32;78;94;78;5682;1198;46;7223;250;2075;9548;
32;63;62;125;5710;1388;93;7488;250;2075;9813;
47;63;109;78;5649;1245;32;7238;234;2075;9547;
32;172;78;140;5787;1219;45;7504;234;1684;9453;
16;62;63;156;5600;1138;63;7160;266;1794;9236;
32;78;62;94;5492;1280;46;7130;249;2231;9610;
32;63;93;78;5583;1219;46;7160;265;1701;9126;
47;62;62;78;5836;1246;63;7472;219;1981;9672;
31;62;47;93;5711;1216;62;7269;250;2012;9531;
47;62;141;124;5695;1248;62;7535;218;1669;9422;
32;63;78;109;5600;1138;47;7114;250;1856;9235;
31;62;78;94;5693;1140;61;7191;250;1716;9157;
31;78;47;109;5616;1497;63;7472;297;1950;9735;
