31;63;47;109;2075;702;15;3104;577;1295;4976;
31;62;63;109;2278;1092;15;3666;187;1248;5101;
16;62;63;94;2247;749;15;3292;187;1607;5086;
16;63;46;125;2231;921;15;3448;343;1139;4961;
47;63;93;78;2137;593;16;3058;187;1653;4898;
31;62;94;94;2481;780;15;3588;203;1123;4930;
16;78;62;141;2075;686;16;3120;358;1295;4805;
47;62;62;110;2231;717;31;3292;405;1170;4883;
16;63;62;172;2387;827;16;3573;343;1170;5101;
15;94;46;94;2091;842;31;3229;359;1201;4789;
16;78;62;78;2106;827;15;3229;312;1482;5023;
32;78;63;93;2247;795;15;3354;375;1123;4867;
47;78;62;109;2106;765;31;3214;374;1295;4883;
16;78;94;94;2199;796;31;3323;374;1124;4821;
31;78;63;109;2091;826;31;3244;344;1138;4742;
16;94;109;62;2075;796;31;3230;359;1139;4743;
31;78;124;63;2028;811;31;3182;359;1310;4851;
63;63;62;125;2278;795;31;3448;343;1077;4868;
31;78;78;78;2106;811;16;3229;359;1154;4758;
46;62;63;93;2153;811;15;3322;359;1092;4789;
16;94;62;94;2122;826;31;3260;297;1357;4930;
31;62;94;93;2075;811;16;3198;530;1170;4898;
32;63;109;140;2387;639;16;3417;265;1139;4821;
31;62;109;78;2075;999;15;3401;280;1155;4836;
32;78;62;109;2090;702;16;3120;234;1124;4478;
32;63;109;78;2090;812;31;3230;358;1155;4743;
31;78;63;93;2075;811;31;3229;343;1108;4680;
46;78;62;94;2075;796;31;3213;281;1248;4742;
187;62;62;78;2230;812;16;3494;172;1497;5163;
15;62;63;125;2169;733;15;3213;578;1138;4945;
47;78;78;78;2387;748;16;3463;328;1248;5039;
31;63;93;94;2246;811;16;3385;359;1201;4945;
47;62;62;110;2215;780;31;3323;359;1202;4914;
32;63;93;94;2091;764;15;3167;218;1467;4868;
47;62;62;110;2355;780;16;3479;172;1606;5257;
31;62;62;109;2216;686;15;3229;327;1404;4976;
94;62;125;78;2231;811;15;3573;343;1154;5070;
31;62;78;94;2152;796;16;3260;172;1529;4976;
31;93;63;109;2106;702;31;3151;187;1326;4664;
47;62;78;94;2060;733;15;3120;188;1716;5039;
31;63;62;187;2278;780;16;3432;374;1264;5086;
47;62;78;94;2153;952;15;3417;296;1155;4868;
16;78;63;109;2075;780;15;3167;172;1482;4836;
32;63;93;109;2168;764;32;3292;312;1591;5195;
31;62;62;78;2106;749;15;3182;234;1545;4961;
31;62;78;78;2293;780;31;3400;343;1139;4914;
46;62;78;94;2090;733;16;3166;281;1545;4992;
15;125;62;94;2168;733;31;3244;203;1607;5054;
31;78;47;125;2091;764;15;3182;359;1107;4648;
47;62;94;78;2138;795;15;3261;343;1107;4727;
31;62;109;78;2184;608;16;3104;234;1435;4773;
31;62;94;109;2262;936;31;3541;312;1170;5023;
15;78;62;109;2293;811;32;3416;187;1451;5054;
15;172;78;78;2060;748;31;3213;188;1419;4852;
32;78;47;109;2075;780;15;3167;359;1154;4680;
16;62;78;78;2184;561;16;3042;343;1155;4571;
31;78;78;94;2075;702;31;3105;374;1170;4649;
31;124;47;94;2090;827;31;3260;343;1108;4727;
31;78;63;125;2059;796;31;3198;171;1545;4929;
31;62;78;94;2169;811;15;3292;187;1264;4743;
32;63;93;78;2060;764;15;3136;312;1248;4696;
234;47;62;78;2106;796;15;3370;530;1108;5008;
31;78;63;93;2200;780;16;3291;187;1685;5163;
62;62;63;78;2246;780;16;3369;375;1107;4851;
16;78;63;109;2090;686;16;3088;203;1186;4477;
31;78;109;78;2091;592;15;3042;296;1358;4712;
47;62;141;140;2230;702;16;3447;312;1404;5163;
47;63;124;78;2308;780;32;3447;562;1201;5210;
31;62;78;94;2090;811;16;3213;172;1529;4930;
31;63;93;78;2074;593;32;2979;297;1076;4352;
47;62;62;141;2153;827;15;3339;296;1232;4867;
31;78;140;141;2278;764;15;3463;531;1326;5320;
47;62;46;94;2137;796;15;3245;187;1560;4992;
15;78;78;94;2153;764;16;3245;312;1248;4821;
31;78;62;110;2121;812;31;3261;374;1248;4898;
47;125;78;109;2246;749;16;3401;359;1279;5039;
47;62;47;124;2168;796;32;3323;359;1372;5070;
31;78;94;141;2387;858;16;3651;187;1514;5367;
78;93;94;125;2277;890;31;3666;249;1482;5413;
31;78;63;93;2184;858;16;3354;343;1170;4867;
32;78;94;78;2246;827;16;3401;343;1342;5102;
47;93;63;93;2200;780;15;3385;344;1232;4961;
32;78;63;140;2184;1311;31;3854;187;1279;5320;
31;63;93;94;2215;796;15;3354;358;1358;5086;
47;63;62;141;2199;858;31;3416;359;1279;5054;
31;62;94;93;2356;873;16;3557;374;1186;5148;
47;63;78;93;2184;811;16;3307;359;1482;5148;
31;94;93;78;2325;1045;15;3713;265;1170;5164;
31;62;62;125;2199;780;16;3291;515;1373;5179;
78;109;125;78;2106;780;15;3323;312;1435;5070;
31;62;94;78;2137;827;16;3276;328;1185;4789;
31;94;46;94;2403;826;31;3541;188;1684;5413;
31;62;94;78;2199;780;31;3291;344;1357;5008;
31;78;62;94;2121;593;16;3011;187;1560;4758;
31;78;78;109;2106;718;15;3167;187;1467;4836;
47;78;62;140;2262;795;32;3432;312;1482;5226;
31;62;94;78;2153;811;15;3260;344;1123;4758;
187;62;47;78;2355;811;16;3619;344;1185;5148;
31;62;78;78;2059;765;31;3151;359;1170;4696;
156;47;31;125;2075;733;16;3276;359;1154;4820;
